"","MA.id","CDSR.id","outcome","modelname","col.group","num_studies","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
"7966",664,"CD012780","Hedge's g","ivre","Frequentist",6,-0.0193758986227675,0.413892811122199,-0.830590901882316,0.791839104636781,1.6224300065191,0,NA,NA,NA,NA,NA,NA
"7967",664,"CD012780","Hedge's g","htebayesian","Bayesian",6,0.00279551245360109,0.490495789025368,-0.998366271344913,0.967235308395142,1.96560157974006,0.357684395759415,-1.00866711370662,1.9798565515261,2.01733422741323,0.0332673342194112,0.00604166042689427,0.0665346684388223
"7968",664,"CD012780","Hedge's g","ctebayesian","Bayesian",6,-0.0188072969406495,0.407073282622307,-0.815884364526346,0.780060712820432,1.59594507734678,NA,NA,NA,NA,NA,NA,NA
"7969",665,"CD012780","MD","ivfe","Frequentist",5,-0.0801711658334569,0.351158120863228,-0.768428435604148,0.608086103937234,1.37651453954138,NA,NA,NA,NA,NA,NA,NA
"7970",665,"CD012780","MD","ivre","Frequentist",5,-0.193982002006896,0.219827964586049,-0.624836895390299,0.236872891376506,0.861709786766805,0.448857561584477,NA,NA,NA,NA,NA,NA
"7971",665,"CD012780","MD","htebayesian","Bayesian",5,-0.275645310426576,0.677207637046383,-1.47846448725388,0.987325554068364,2.46579004132225,0.534623272351462,-2.35839413026394,2.21247663392993,4.71678826052788,0.36443311381654,0.247626798521059,0.728866227633079
"7972",665,"CD012780","MD","ctebayesian","Bayesian",5,-0.283616138737759,0.426467584409201,-1.11197445681213,0.559156852936353,1.67113130974848,NA,NA,NA,NA,NA,NA,NA
"7973",665,"CD012780","Cohen's d","ivfe","Frequentist",5,-0.0244927526489982,0.0721556973321116,-0.16591532069931,0.116929815401313,0.282845136100623,NA,NA,NA,NA,NA,NA,NA
"7974",665,"CD012780","Cohen's d","ivre","Frequentist",5,-0.0244927526489982,0.0721556973321116,-0.16591532069931,0.116929815401313,0.282845136100623,0,NA,NA,NA,NA,NA,NA
"7975",665,"CD012780","Cohen's d","htebayesian","Bayesian",5,-0.0246605450667527,1.38998139387564,-2.68828563003482,2.63501292822909,5.32329855826391,0.961657017219981,-4.39157040488821,10.6176619591043,8.78314080977642,0.109520025042248,0.771180355051047,0.219040050084497
"7976",665,"CD012780","Cohen's d","ctebayesian","Bayesian",5,-0.0226408065482943,1.01350629979016,-2.00835173798299,1.96401494820809,3.97236668619109,NA,NA,NA,NA,NA,NA,NA
